sitename,cultivar,canopy_height,aboveground_dry_biomass,flag_leaf_emergence_time,flowering_time
MAC Field Scanner Season 4 Range 15 Column 15,PI506030,348.0,15830.0,,
MAC Field Scanner Season 4 Range 15 Column 2,PI329645,322.0,38120.0,,
MAC Field Scanner Season 4 Range 15 Column 3,PI570114,281.0,14550.0,,
MAC Field Scanner Season 4 Range 15 Column 4,PI156890,274.0,16670.0,,
MAC Field Scanner Season 4 Range 15 Column 5,PI569418,311.0,24400.0,,
MAC Field Scanner Season 4 Range 15 Column 6,PI583832,323.0,36430.0,,
MAC Field Scanner Season 4 Range 15 Column 7,PI152971,340.0,28380.0,,
MAC Field Scanner Season 4 Range 15 Column 8,PI329864,357.0,22310.0,,
MAC Field Scanner Season 4 Range 15 Column 9,PI329301,381.0,61030.0,,
MAC Field Scanner Season 4 Range 16 Column 10,PI569465,330.0,10310.0,,
MAC Field Scanner Season 4 Range 16 Column 11,PI585966,346.0,21200.0,,
MAC Field Scanner Season 4 Range 16 Column 12,PI570076,365.0,25860.0,,
MAC Field Scanner Season 4 Range 16 Column 13,PI146890,335.0,22990.0,,
MAC Field Scanner Season 4 Range 16 Column 14,PI570254,328.0,30150.0,,
MAC Field Scanner Season 4 Range 16 Column 15,PI562991,344.0,12860.0,,
MAC Field Scanner Season 4 Range 16 Column 2,PI152727,341.0,24380.0,,
MAC Field Scanner Season 4 Range 16 Column 3,PI569886,308.0,13360.0,,
MAC Field Scanner Season 4 Range 16 Column 4,PI562970,266.0,35010.0,,
MAC Field Scanner Season 4 Range 16 Column 5,PI506069,323.0,27770.0,,
MAC Field Scanner Season 4 Range 16 Column 6,PI329546,292.0,28620.0,,
MAC Field Scanner Season 4 Range 16 Column 7,PI152651,323.0,14720.0,41.0,50.0
MAC Field Scanner Season 4 Range 16 Column 8,PI563022,342.0,21800.0,,
MAC Field Scanner Season 4 Range 16 Column 9,PI566819,341.0,34610.0,,
MAC Field Scanner Season 4 Range 17 Column 10,PI569420,354.0,9096.0,,
MAC Field Scanner Season 4 Range 17 Column 11,PI196049,355.0,40800.0,,
MAC Field Scanner Season 4 Range 17 Column 12,PI505735,359.0,23810.0,,
MAC Field Scanner Season 4 Range 17 Column 13,PI586541,257.0,22810.0,,
MAC Field Scanner Season 4 Range 17 Column 14,PI152860,370.0,23790.0,,
MAC Field Scanner Season 4 Range 17 Column 15,PI455301,278.0,22780.0,,
MAC Field Scanner Season 4 Range 17 Column 2,PI329541,330.0,5851.0,,
MAC Field Scanner Season 4 Range 17 Column 3,PI329702,341.0,23660.0,,
MAC Field Scanner Season 4 Range 17 Column 4,PI570090,186.0,13400.0,,
MAC Field Scanner Season 4 Range 17 Column 5,PI329394,371.0,23570.0,,
MAC Field Scanner Season 4 Range 17 Column 6,PI570400,164.0,17290.0,,
MAC Field Scanner Season 4 Range 17 Column 7,PI157030,325.0,32720.0,,
MAC Field Scanner Season 4 Range 17 Column 8,PI569264,300.0,33250.0,,
MAC Field Scanner Season 4 Range 17 Column 9,PI229841,295.0,32590.0,,
MAC Field Scanner Season 4 Range 18 Column 10,PI646266,197.0,18680.0,,
MAC Field Scanner Season 4 Range 18 Column 11,PI641862,249.0,24030.0,57.0,64.0
MAC Field Scanner Season 4 Range 18 Column 12,PI655981,236.0,15260.0,56.0,61.0
MAC Field Scanner Season 4 Range 18 Column 13,PI641817,215.0,24780.0,56.0,64.0
