sitename,cultivar,canopy_height,aboveground_dry_biomass,flag_leaf_emergence_time,flowering_time
MAC Field Scanner Season 4 Range 31 Column 9,PI217691,294.0,18660.0,62.0,64.0
MAC Field Scanner Season 4 Range 32 Column 10,Unknown off type,263.0,,50.0,56.0
MAC Field Scanner Season 4 Range 32 Column 11,PI524475,338.0,21440.0,,
MAC Field Scanner Season 4 Range 32 Column 12,PI329702,362.0,35460.0,,
MAC Field Scanner Season 4 Range 32 Column 13,PI585966,354.0,12110.0,,
MAC Field Scanner Season 4 Range 32 Column 14,PI455217,345.0,32390.0,,
MAC Field Scanner Season 4 Range 32 Column 15,PI297130,365.0,18510.0,,
MAC Field Scanner Season 4 Range 32 Column 2,PI152961,321.0,17160.0,,
MAC Field Scanner Season 4 Range 32 Column 3,PI330199,347.0,32250.0,,
MAC Field Scanner Season 4 Range 32 Column 4,PI563330,321.0,5989.0,,
MAC Field Scanner Season 4 Range 32 Column 5,PI329673,303.0,,,
MAC Field Scanner Season 4 Range 32 Column 6,PI569455,381.0,15750.0,,
MAC Field Scanner Season 4 Range 32 Column 7,PI329394,381.0,29560.0,,
MAC Field Scanner Season 4 Range 32 Column 8,PI455301,378.0,30970.0,,
MAC Field Scanner Season 4 Range 32 Column 9,PI152862,291.0,27020.0,,
MAC Field Scanner Season 4 Range 33 Column 10,PI569425,316.0,15870.0,,
MAC Field Scanner Season 4 Range 33 Column 11,PI329478,310.0,19540.0,,
MAC Field Scanner Season 4 Range 33 Column 12,PI570073,335.0,18550.0,,
MAC Field Scanner Season 4 Range 33 Column 13,PI170787,331.0,21880.0,70.0,72.0
MAC Field Scanner Season 4 Range 33 Column 14,PI196586,303.0,22790.0,77.0,90.0
MAC Field Scanner Season 4 Range 33 Column 15,PI221548,348.0,20850.0,,
MAC Field Scanner Season 4 Range 33 Column 2,PI181080,327.0,6158.0,49.0,54.0
MAC Field Scanner Season 4 Range 33 Column 3,PI641815,282.0,19500.0,,
MAC Field Scanner Season 4 Range 33 Column 4,PI562971,273.0,43140.0,,
MAC Field Scanner Season 4 Range 33 Column 5,PI655981,292.0,19080.0,,
MAC Field Scanner Season 4 Range 33 Column 6,PI641810,348.0,24360.0,,
MAC Field Scanner Season 4 Range 33 Column 7,PI569443,367.0,14900.0,,
MAC Field Scanner Season 4 Range 33 Column 8,PI145619,352.0,31220.0,,
MAC Field Scanner Season 4 Range 33 Column 9,PI585577,356.0,23250.0,,
MAC Field Scanner Season 4 Range 34 Column 10,PI156217,328.0,23210.0,,
MAC Field Scanner Season 4 Range 34 Column 11,PI302252,331.0,29460.0,,
MAC Field Scanner Season 4 Range 34 Column 12,PI569445,338.0,11700.0,,
MAC Field Scanner Season 4 Range 34 Column 13,PI154987,357.0,37020.0,,
MAC Field Scanner Season 4 Range 34 Column 14,PI452619,337.0,28470.0,,
MAC Field Scanner Season 4 Range 34 Column 15,PI329473,338.0,,,
MAC Field Scanner Season 4 Range 34 Column 2,PI569454,284.0,14050.0,,
MAC Field Scanner Season 4 Range 34 Column 3,PI585461,243.0,21410.0,,
MAC Field Scanner Season 4 Range 34 Column 4,PI22913,312.0,16450.0,,
MAC Field Scanner Season 4 Range 34 Column 5,PI153877,332.0,33190.0,,
MAC Field Scanner Season 4 Range 34 Column 6,PI329471,326.0,13390.0,,
MAC Field Scanner Season 4 Range 34 Column 7,PI569444,338.0,30290.0,,
MAC Field Scanner Season 4 Range 34 Column 8,PI585608,308.0,14220.0,,
MAC Field Scanner Season 4 Range 34 Column 9,PI646251,337.0,16660.0,,
MAC Field Scanner Season 4 Range 35 Column 10,PI642998,268.0,10660.0,54.0,61.0
MAC Field Scanner Season 4 Range 35 Column 11,PI152651,137.0,7158.0,,
MAC Field Scanner Season 4 Range 35 Column 12,PI570090,375.0,30240.0,,
MAC Field Scanner Season 4 Range 35 Column 13,PI570400,357.0,29110.0,,
MAC Field Scanner Season 4 Range 35 Column 14,PI619838,155.0,11970.0,,
MAC Field Scanner Season 4 Range 35 Column 15,PI145626,342.0,29250.0,77.0,
MAC Field Scanner Season 4 Range 35 Column 2,PI329570,286.0,15560.0,,
MAC Field Scanner Season 4 Range 35 Column 3,PI152923,307.0,18160.0,,
MAC Field Scanner Season 4 Range 35 Column 4,PI329644,217.0,17570.0,,
MAC Field Scanner Season 4 Range 35 Column 5,PI569419,333.0,13290.0,,
MAC Field Scanner Season 4 Range 35 Column 6,PI146890,275.0,32480.0,91.0,
MAC Field Scanner Season 4 Range 35 Column 7,PI329351,378.0,21640.0,,
MAC Field Scanner Season 4 Range 35 Column 8,PI562897,393.0,27800.0,,
MAC Field Scanner Season 4 Range 35 Column 9,PI329403,305.0,41040.0,,
MAC Field Scanner Season 4 Range 36 Column 10,PI585452,397.0,12450.0,,
MAC Field Scanner Season 4 Range 36 Column 11,PI266927,384.0,40080.0,,
MAC Field Scanner Season 4 Range 36 Column 12,PI455280,338.0,20700.0,,
MAC Field Scanner Season 4 Range 36 Column 13,PI563350,345.0,30940.0,,
MAC Field Scanner Season 4 Range 36 Column 14,PI569465,141.0,21420.0,,
MAC Field Scanner Season 4 Range 36 Column 15,PI337680,333.0,8185.0,,
MAC Field Scanner Season 4 Range 36 Column 2,PI155885,166.0,15750.0,,
MAC Field Scanner Season 4 Range 36 Column 3,PI329333,216.0,25870.0,,
MAC Field Scanner Season 4 Range 36 Column 4,PI152771,339.0,23870.0,,
MAC Field Scanner Season 4 Range 36 Column 5,PI176766,283.0,20040.0,61.0,64.0
MAC Field Scanner Season 4 Range 36 Column 6,PI563355,190.0,19030.0,,
MAC Field Scanner Season 4 Range 36 Column 7,PI329545,235.0,17240.0,,
MAC Field Scanner Season 4 Range 36 Column 8,PI583832,384.0,28210.0,,
MAC Field Scanner Season 4 Range 36 Column 9,PI521152,264.0,31140.0,,
MAC Field Scanner Season 4 Range 37 Column 10,PI267573,397.0,14630.0,,
MAC Field Scanner Season 4 Range 37 Column 11,PI152694,268.0,27190.0,62.0,64.0
MAC Field Scanner Season 4 Range 37 Column 12,PI563222,249.0,14100.0,,
MAC Field Scanner Season 4 Range 37 Column 13,PI329465,209.0,29140.0,,
MAC Field Scanner Season 4 Range 37 Column 14,PI569244,345.0,37050.0,77.0,90.0
MAC Field Scanner Season 4 Range 37 Column 15,PI152591,181.0,9668.0,,
MAC Field Scanner Season 4 Range 37 Column 2,PI562985,352.0,11040.0,,
MAC Field Scanner Season 4 Range 37 Column 3,PI570431,361.0,26640.0,,
MAC Field Scanner Season 4 Range 37 Column 4,PI570031,357.0,16100.0,,
MAC Field Scanner Season 4 Range 37 Column 5,PI569435,387.0,10850.0,,
MAC Field Scanner Season 4 Range 37 Column 6,PI569452,285.0,45860.0,,
MAC Field Scanner Season 4 Range 37 Column 7,PI330182,339.0,37320.0,,
MAC Field Scanner Season 4 Range 37 Column 8,PI562970,358.0,20910.0,,
MAC Field Scanner Season 4 Range 37 Column 9,PI152967,379.0,28540.0,,
MAC Field Scanner Season 4 Range 38 Column 10,PI535785,318.0,17500.0,77.0,90.0
MAC Field Scanner Season 4 Range 38 Column 11,PI641835,270.0,28140.0,77.0,90.0
MAC Field Scanner Season 4 Range 38 Column 12,PI570042,151.0,11950.0,,
MAC Field Scanner Season 4 Range 38 Column 13,PI253986,294.0,42420.0,,
MAC Field Scanner Season 4 Range 38 Column 14,PI218112,365.0,14730.0,50.0,56.0
MAC Field Scanner Season 4 Range 38 Column 15,PI533998,123.0,10160.0,,
MAC Field Scanner Season 4 Range 38 Column 2,PI213900,214.0,15120.0,46.0,53.0
MAC Field Scanner Season 4 Range 38 Column 3,PI35038,311.0,31380.0,70.0,74.0
MAC Field Scanner Season 4 Range 38 Column 4,PI175919,235.0,16630.0,62.0,70.0
MAC Field Scanner Season 4 Range 38 Column 5,PI329326,323.0,21180.0,,
MAC Field Scanner Season 4 Range 38 Column 6,PI535783,272.0,23340.0,,
MAC Field Scanner Season 4 Range 38 Column 7,PI157804,381.0,28050.0,50.0,56.0
MAC Field Scanner Season 4 Range 38 Column 8,PI562981,192.0,25770.0,,
MAC Field Scanner Season 4 Range 38 Column 9,PI156463,331.0,26820.0,,
MAC Field Scanner Season 4 Range 39 Column 10,PI505722,392.0,17360.0,,
MAC Field Scanner Season 4 Range 39 Column 11,PI563332,391.0,28490.0,,
MAC Field Scanner Season 4 Range 39 Column 12,PI156871,239.0,3605.0,,
MAC Field Scanner Season 4 Range 39 Column 13,PI653617,270.0,24150.0,,
MAC Field Scanner Season 4 Range 39 Column 14,PI643016,369.0,41100.0,,
MAC Field Scanner Season 4 Range 39 Column 15,PI562781,191.0,7112.0,,
MAC Field Scanner Season 4 Range 39 Column 2,PI329517,132.0,6921.0,,
MAC Field Scanner Season 4 Range 39 Column 3,PI651496,275.0,17910.0,,
MAC Field Scanner Season 4 Range 39 Column 4,PI651495,303.0,17300.0,,
MAC Field Scanner Season 4 Range 39 Column 5,PI570076,178.0,24040.0,,
MAC Field Scanner Season 4 Range 39 Column 6,PI525049,245.0,21590.0,,
MAC Field Scanner Season 4 Range 39 Column 7,PI569462,370.0,15510.0,,
MAC Field Scanner Season 4 Range 39 Column 8,PI154846,368.0,24160.0,,
MAC Field Scanner Season 4 Range 39 Column 9,PI562732,290.0,26210.0,,
MAC Field Scanner Season 4 Range 4 Column 10,PI620072,361.0,17110.0,,
MAC Field Scanner Season 4 Range 4 Column 11,PI563338,377.0,32070.0,,
MAC Field Scanner Season 4 Range 4 Column 12,PI569460,205.0,15700.0,,
MAC Field Scanner Season 4 Range 4 Column 13,PI569444,171.0,18880.0,,
MAC Field Scanner Season 4 Range 4 Column 14,PI562730,368.0,25140.0,,
MAC Field Scanner Season 4 Range 4 Column 15,PI563355,194.0,15690.0,,
MAC Field Scanner Season 4 Range 4 Column 2,PI329473,195.0,21540.0,,
MAC Field Scanner Season 4 Range 4 Column 3,PI646251,152.0,6660.0,,
MAC Field Scanner Season 4 Range 4 Column 4,PI330169,366.0,36400.0,,
MAC Field Scanner Season 4 Range 4 Column 5,PI569458,392.0,13670.0,,
MAC Field Scanner Season 4 Range 4 Column 6,PI302252,408.0,35640.0,83.0,91.0
MAC Field Scanner Season 4 Range 4 Column 7,PI156217,388.0,17810.0,,
MAC Field Scanner Season 4 Range 4 Column 8,PI569090,297.0,23790.0,,
MAC Field Scanner Season 4 Range 4 Column 9,PI585608,350.0,20770.0,,
MAC Field Scanner Season 4 Range 40 Column 10,PI570110,258.0,2667.0,,
MAC Field Scanner Season 4 Range 40 Column 11,PI563331,342.0,37460.0,,
MAC Field Scanner Season 4 Range 40 Column 12,PI510757,243.0,8616.0,,
MAC Field Scanner Season 4 Range 40 Column 13,PI569148,372.0,22540.0,,
MAC Field Scanner Season 4 Range 40 Column 14,PI506030,223.0,30660.0,,
MAC Field Scanner Season 4 Range 40 Column 15,PI569457,351.0,8131.0,,
MAC Field Scanner Season 4 Range 40 Column 2,PI329310,287.0,27310.0,,
MAC Field Scanner Season 4 Range 40 Column 3,PI330858,228.0,26110.0,,
MAC Field Scanner Season 4 Range 40 Column 4,PI329585,196.0,11880.0,,
MAC Field Scanner Season 4 Range 40 Column 5,PI569453,162.0,18490.0,,
MAC Field Scanner Season 4 Range 40 Column 6,PI329841,410.0,47970.0,,
MAC Field Scanner Season 4 Range 40 Column 7,PI570393,209.0,,,
MAC Field Scanner Season 4 Range 40 Column 8,PI329569,323.0,31010.0,,
MAC Field Scanner Season 4 Range 40 Column 9,PI563329,335.0,27030.0,,
MAC Field Scanner Season 4 Range 41 Column 10,PI573193,389.0,,,
MAC Field Scanner Season 4 Range 41 Column 11,PI152860,388.0,35410.0,,
MAC Field Scanner Season 4 Range 41 Column 12,PI257599,255.0,26310.0,,
MAC Field Scanner Season 4 Range 41 Column 13,PI329710,273.0,27970.0,,
MAC Field Scanner Season 4 Range 41 Column 14,PI646242,211.0,25640.0,,
MAC Field Scanner Season 4 Range 41 Column 15,PI570087,346.0,14970.0,,
MAC Field Scanner Season 4 Range 41 Column 2,PI566819,250.0,21290.0,,
MAC Field Scanner Season 4 Range 41 Column 3,PI643008,278.0,4379.0,,
MAC Field Scanner Season 4 Range 41 Column 4,PI329865,258.0,18190.0,,
MAC Field Scanner Season 4 Range 41 Column 5,PI514456,209.0,22350.0,,
MAC Field Scanner Season 4 Range 41 Column 6,PI329605,342.0,18170.0,,
MAC Field Scanner Season 4 Range 41 Column 7,PI329584,228.0,7196.0,,
MAC Field Scanner Season 4 Range 41 Column 8,PI569097,357.0,39620.0,,
MAC Field Scanner Season 4 Range 41 Column 9,PI273969,381.0,33270.0,,
MAC Field Scanner Season 4 Range 42 Column 10,PI329665,191.0,2734.0,,
MAC Field Scanner Season 4 Range 42 Column 11,PI329301,407.0,45730.0,,
MAC Field Scanner Season 4 Range 42 Column 12,PI155516,394.0,16320.0,,
MAC Field Scanner Season 4 Range 42 Column 13,PI569420,156.0,6461.0,,
MAC Field Scanner Season 4 Range 42 Column 14,PI329466,243.0,48420.0,,
MAC Field Scanner Season 4 Range 42 Column 15,PI330803,340.0,10900.0,,
MAC Field Scanner Season 4 Range 42 Column 2,PI257600,328.0,18010.0,,
MAC Field Scanner Season 4 Range 42 Column 3,PI251672,283.0,23490.0,,
MAC Field Scanner Season 4 Range 42 Column 4,PI154844,377.0,32420.0,,
MAC Field Scanner Season 4 Range 42 Column 5,PI570388,277.0,29460.0,,
MAC Field Scanner Season 4 Range 42 Column 6,PI570145,228.0,27170.0,,
MAC Field Scanner Season 4 Range 42 Column 7,PI329319,177.0,19080.0,,
MAC Field Scanner Season 4 Range 42 Column 8,PI570075,344.0,21630.0,,
MAC Field Scanner Season 4 Range 42 Column 9,PI521280,364.0,23820.0,,
MAC Field Scanner Season 4 Range 43 Column 10,PI329541,372.0,1466.0,,
MAC Field Scanner Season 4 Range 43 Column 11,PI167093,389.0,32510.0,77.0,84.0
MAC Field Scanner Season 4 Range 43 Column 12,PI506069,244.0,22460.0,,
MAC Field Scanner Season 4 Range 43 Column 13,PI156330,337.0,17580.0,,
MAC Field Scanner Season 4 Range 43 Column 14,PI569427,154.0,23000.0,,
MAC Field Scanner Season 4 Range 43 Column 15,PI569418,160.0,17390.0,,
MAC Field Scanner Season 4 Range 43 Column 2,PI453696,245.0,6817.0,,
MAC Field Scanner Season 4 Range 43 Column 3,PI455307,349.0,16470.0,,
MAC Field Scanner Season 4 Range 43 Column 4,PI329711,370.0,31940.0,,
MAC Field Scanner Season 4 Range 43 Column 5,PI570096,203.0,23340.0,,
MAC Field Scanner Season 4 Range 43 Column 6,PI619807,224.0,20710.0,,
MAC Field Scanner Season 4 Range 43 Column 7,PI329511,388.0,26520.0,,
MAC Field Scanner Season 4 Range 43 Column 8,PI562730,307.0,28780.0,,
MAC Field Scanner Season 4 Range 43 Column 9,PI330195,239.0,29540.0,,
MAC Field Scanner Season 4 Range 44 Column 10,PI329699,302.0,42400.0,,
MAC Field Scanner Season 4 Range 44 Column 11,PI505717,363.0,27290.0,,
MAC Field Scanner Season 4 Range 44 Column 12,PI563032,249.0,11430.0,,
MAC Field Scanner Season 4 Range 44 Column 13,PI329843,318.0,25300.0,,
MAC Field Scanner Season 4 Range 44 Column 14,PI154750,322.0,30290.0,,
MAC Field Scanner Season 4 Range 44 Column 15,PI329256,339.0,16280.0,,
MAC Field Scanner Season 4 Range 44 Column 2,PI330807,319.0,28530.0,,
MAC Field Scanner Season 4 Range 44 Column 3,PI152728,129.0,18110.0,,
MAC Field Scanner Season 4 Range 44 Column 4,PI156487,387.0,20860.0,,
MAC Field Scanner Season 4 Range 44 Column 5,PI156268,398.0,33770.0,,
MAC Field Scanner Season 4 Range 44 Column 6,PI303658,251.0,31060.0,,
MAC Field Scanner Season 4 Range 44 Column 7,PI329338,253.0,15830.0,,
MAC Field Scanner Season 4 Range 44 Column 8,PI276837,399.0,44040.0,,
MAC Field Scanner Season 4 Range 44 Column 9,PI329286,387.0,6628.0,,
MAC Field Scanner Season 4 Range 45 Column 10,PI562997,194.0,10900.0,,
MAC Field Scanner Season 4 Range 45 Column 11,PI152966,370.0,27760.0,,
MAC Field Scanner Season 4 Range 45 Column 12,PI506122,350.0,24190.0,,
MAC Field Scanner Season 4 Range 45 Column 13,PI196049,356.0,35310.0,,
MAC Field Scanner Season 4 Range 45 Column 14,PI570091,168.0,22090.0,,
MAC Field Scanner Season 4 Range 45 Column 15,PI563021,151.0,24220.0,,
MAC Field Scanner Season 4 Range 45 Column 2,PI585454,303.0,10080.0,,
MAC Field Scanner Season 4 Range 45 Column 3,PI570373,310.0,29230.0,,
MAC Field Scanner Season 4 Range 45 Column 4,PI570254,375.0,24240.0,,
MAC Field Scanner Season 4 Range 45 Column 5,PI452692,286.0,21930.0,,
MAC Field Scanner Season 4 Range 45 Column 6,PI152730,320.0,29500.0,77.0,
MAC Field Scanner Season 4 Range 45 Column 7,PI330796,168.0,8227.0,,
MAC Field Scanner Season 4 Range 45 Column 8,PI157035,373.0,32720.0,,
MAC Field Scanner Season 4 Range 45 Column 9,PI330185,384.0,22200.0,,
MAC Field Scanner Season 4 Range 46 Column 10,PI535792,96.0,7909.0,70.0,74.0
MAC Field Scanner Season 4 Range 46 Column 11,PI329435,84.0,14120.0,,
MAC Field Scanner Season 4 Range 46 Column 12,PI535793,146.0,9760.0,56.0,63.0
MAC Field Scanner Season 4 Range 46 Column 13,PI561840,218.0,25430.0,77.0,79.0
MAC Field Scanner Season 4 Range 46 Column 14,PI564163,124.0,9948.0,,
MAC Field Scanner Season 4 Range 46 Column 15,PI533902,337.0,13780.0,76.0,78.0
MAC Field Scanner Season 4 Range 46 Column 2,PI533792,98.0,5903.0,50.0,54.0
MAC Field Scanner Season 4 Range 46 Column 3,PI526905,310.0,6551.0,50.0,56.0
MAC Field Scanner Season 4 Range 46 Column 4,PI576401,363.0,14920.0,77.0,84.0
MAC Field Scanner Season 4 Range 46 Column 5,PI535796,227.0,25210.0,,
MAC Field Scanner Season 4 Range 46 Column 6,PI542718,318.0,6870.0,50.0,58.0
MAC Field Scanner Season 4 Range 46 Column 7,PI534120,80.0,10950.0,,
MAC Field Scanner Season 4 Range 46 Column 8,PI576399,232.0,23420.0,70.0,72.0
MAC Field Scanner Season 4 Range 46 Column 9,PI180348,184.0,21100.0,,
MAC Field Scanner Season 4 Range 47 Column 10,PI330169,285.0,34430.0,,
MAC Field Scanner Season 4 Range 47 Column 11,PI620072,242.0,28420.0,,
MAC Field Scanner Season 4 Range 47 Column 12,PI156178,186.0,22000.0,,
MAC Field Scanner Season 4 Range 47 Column 13,PI570071,151.0,15570.0,,
MAC Field Scanner Season 4 Range 47 Column 14,PI329546,306.0,31090.0,,
MAC Field Scanner Season 4 Range 47 Column 15,PI506114,337.0,16310.0,,
MAC Field Scanner Season 4 Range 47 Column 2,PI569422,134.0,10330.0,,
MAC Field Scanner Season 4 Range 47 Column 3,PI455221,262.0,41520.0,,
MAC Field Scanner Season 4 Range 47 Column 4,PI570074,351.0,6259.0,,
MAC Field Scanner Season 4 Range 47 Column 5,PI337689,245.0,39070.0,,
MAC Field Scanner Season 4 Range 47 Column 6,PI569460,369.0,20230.0,,
MAC Field Scanner Season 4 Range 47 Column 7,PI563196,282.0,52490.0,,
MAC Field Scanner Season 4 Range 47 Column 8,PI562998,182.0,21880.0,,
MAC Field Scanner Season 4 Range 47 Column 9,PI585961,173.0,19510.0,,
MAC Field Scanner Season 4 Range 48 Column 10,PI585406,377.0,26190.0,,
MAC Field Scanner Season 4 Range 48 Column 11,PI651497,275.0,33240.0,,
MAC Field Scanner Season 4 Range 48 Column 12,PI563009,178.0,12880.0,,
MAC Field Scanner Season 4 Range 48 Column 13,PI329300,399.0,48660.0,,
MAC Field Scanner Season 4 Range 48 Column 14,PI570085,385.0,16930.0,,
MAC Field Scanner Season 4 Range 48 Column 15,PI329864,197.0,23260.0,,
MAC Field Scanner Season 4 Range 48 Column 2,PI620157,203.0,12260.0,,
MAC Field Scanner Season 4 Range 48 Column 3,PI154944,273.0,9142.0,,
MAC Field Scanner Season 4 Range 48 Column 4,PI329550,214.0,17050.0,,
MAC Field Scanner Season 4 Range 48 Column 5,PI569447,370.0,14790.0,,
MAC Field Scanner Season 4 Range 48 Column 6,PI563020,378.0,25210.0,,
MAC Field Scanner Season 4 Range 48 Column 7,PI152733,395.0,39050.0,,
MAC Field Scanner Season 4 Range 48 Column 8,PI156326,221.0,14020.0,,
MAC Field Scanner Season 4 Range 48 Column 9,PI641850,304.0,27470.0,,
MAC Field Scanner Season 4 Range 49 Column 10,PI521290,275.0,27990.0,,
MAC Field Scanner Season 4 Range 49 Column 11,PI330833,392.0,10340.0,,
MAC Field Scanner Season 4 Range 49 Column 12,PI255239,256.0,23490.0,,
MAC Field Scanner Season 4 Range 49 Column 13,PI569886,388.0,22020.0,,
MAC Field Scanner Season 4 Range 49 Column 14,PI569458,387.0,12530.0,,
MAC Field Scanner Season 4 Range 49 Column 15,PI452542,349.0,22100.0,,
MAC Field Scanner Season 4 Range 49 Column 2,PI563338,206.0,21910.0,,
MAC Field Scanner Season 4 Range 49 Column 3,PI513898,133.0,,,
MAC Field Scanner Season 4 Range 49 Column 4,PI569090,334.0,24030.0,77.0,91.0
MAC Field Scanner Season 4 Range 49 Column 5,PI653616,318.0,25790.0,,
MAC Field Scanner Season 4 Range 49 Column 6,PI570038,174.0,23670.0,,
MAC Field Scanner Season 4 Range 49 Column 7,PI569423,172.0,15700.0,,
MAC Field Scanner Season 4 Range 49 Column 8,PI330181,410.0,31100.0,56.0,
MAC Field Scanner Season 4 Range 49 Column 9,PI569264,406.0,30460.0,,
MAC Field Scanner Season 4 Range 5 Column 10,PI329256,217.0,13000.0,,
MAC Field Scanner Season 4 Range 5 Column 11,PI452542,280.0,14320.0,,
MAC Field Scanner Season 4 Range 5 Column 12,PI563331,327.0,35100.0,,
MAC Field Scanner Season 4 Range 5 Column 13,PI563021,322.0,12340.0,,
MAC Field Scanner Season 4 Range 5 Column 14,PI653617,338.0,16840.0,56.0,62.0
MAC Field Scanner Season 4 Range 5 Column 15,PI152966,354.0,16520.0,,
MAC Field Scanner Season 4 Range 5 Column 2,PI569445,125.0,5855.0,,
MAC Field Scanner Season 4 Range 5 Column 3,PI221651,336.0,28760.0,,
MAC Field Scanner Season 4 Range 5 Column 4,PI525049,226.0,26000.0,,
MAC Field Scanner Season 4 Range 5 Column 5,PI154987,394.0,14700.0,,
MAC Field Scanner Season 4 Range 5 Column 6,PI570087,395.0,11210.0,,
MAC Field Scanner Season 4 Range 5 Column 7,PI329300,392.0,46260.0,,
MAC Field Scanner Season 4 Range 5 Column 8,PI152728,172.0,9186.0,,
MAC Field Scanner Season 4 Range 5 Column 9,PI330168,361.0,25650.0,,
MAC Field Scanner Season 4 Range 50 Column 10,PI656026,367.0,13620.0,60.0,64.0
MAC Field Scanner Season 4 Range 50 Column 11,PI152828,318.0,23620.0,62.0,66.0
MAC Field Scanner Season 4 Range 50 Column 12,PI550604,130.0,10220.0,,62.0
MAC Field Scanner Season 4 Range 50 Column 13,PI52606,155.0,27410.0,62.0,70.0
MAC Field Scanner Season 4 Range 50 Column 14,PI534165,88.0,11430.0,,63.0
MAC Field Scanner Season 4 Range 50 Column 15,PI656065,180.0,23680.0,,62.0
MAC Field Scanner Season 4 Range 50 Column 2,PI181083,168.0,7793.0,46.0,54.0
MAC Field Scanner Season 4 Range 50 Column 3,PI656015,180.0,,50.0,58.0
MAC Field Scanner Season 4 Range 50 Column 4,PI535794,312.0,11470.0,62.0,68.0
MAC Field Scanner Season 4 Range 50 Column 5,PI527045,281.0,21740.0,53.0,58.0
MAC Field Scanner Season 4 Range 50 Column 6,PI655972,210.0,16680.0,,
MAC Field Scanner Season 4 Range 50 Column 7,PI154988,365.0,22150.0,70.0,
MAC Field Scanner Season 4 Range 50 Column 8,PI593916,400.0,37150.0,58.0,63.0
MAC Field Scanner Season 4 Range 50 Column 9,PI655978,113.0,12420.0,,68.0
MAC Field Scanner Season 4 Range 51 Column 10,PI656035,265.0,24530.0,68.0,72.0
MAC Field Scanner Season 4 Range 51 Column 11,PI563002,156.0,18960.0,,
MAC Field Scanner Season 4 Range 51 Column 12,PI655983,245.0,29190.0,,
MAC Field Scanner Season 4 Range 51 Column 13,PI641836,280.0,18370.0,58.0,
MAC Field Scanner Season 4 Range 51 Column 14,PI196598,247.0,27570.0,91.0,
MAC Field Scanner Season 4 Range 51 Column 15,PI569421,334.0,12950.0,,
MAC Field Scanner Season 4 Range 51 Column 2,PI535795,230.0,13450.0,62.0,70.0
MAC Field Scanner Season 4 Range 51 Column 3,PI145633,295.0,17740.0,91.0,
MAC Field Scanner Season 4 Range 51 Column 4,PI586435,301.0,22790.0,62.0,
MAC Field Scanner Season 4 Range 51 Column 5,PI641825,258.0,23210.0,63.0,70.0
MAC Field Scanner Season 4 Range 51 Column 6,PI570106,309.0,14040.0,,
MAC Field Scanner Season 4 Range 51 Column 7,PI641830,213.0,14240.0,,56.0
MAC Field Scanner Season 4 Range 51 Column 8,PI19770,280.0,24470.0,62.0,68.0
MAC Field Scanner Season 4 Range 51 Column 9,PI641862,308.0,20250.0,58.0,64.0
MAC Field Scanner Season 4 Range 52 Column 10,PI329510,361.0,29500.0,,
MAC Field Scanner Season 4 Range 52 Column 11,PI157030,350.0,20650.0,,
MAC Field Scanner Season 4 Range 52 Column 12,PI329480,204.0,18520.0,,
MAC Field Scanner Season 4 Range 52 Column 13,PI330168,337.0,37670.0,,
MAC Field Scanner Season 4 Range 52 Column 14,PI329618,326.0,17310.0,,
MAC Field Scanner Season 4 Range 52 Column 15,PI569459,148.0,15790.0,,
MAC Field Scanner Season 4 Range 52 Column 2,PI585954,139.0,14740.0,,
MAC Field Scanner Season 4 Range 52 Column 3,PI562991,325.0,17220.0,,
MAC Field Scanner Season 4 Range 52 Column 4,PI155760,341.0,29240.0,,
MAC Field Scanner Season 4 Range 52 Column 5,PI330184,233.0,9829.0,,
MAC Field Scanner Season 4 Range 52 Column 6,PI152751,375.0,30780.0,,
MAC Field Scanner Season 4 Range 52 Column 7,PI329299,389.0,35770.0,,
MAC Field Scanner Season 4 Range 52 Column 8,PI505735,230.0,20460.0,,
MAC Field Scanner Season 4 Range 52 Column 9,PI562994,191.0,16710.0,,
MAC Field Scanner Season 4 Range 53 Column 10,Big_Kahuna,252.0,14700.0,,
MAC Field Scanner Season 4 Range 53 Column 11,SP1615,264.0,33050.0,,
MAC Field Scanner Season 4 Range 53 Column 12,Big_Kahuna,251.0,15130.0,,
MAC Field Scanner Season 4 Range 53 Column 13,SP1615,368.0,34620.0,,
MAC Field Scanner Season 4 Range 53 Column 14,Big_Kahuna,245.0,15510.0,,
MAC Field Scanner Season 4 Range 53 Column 15,SP1615,247.0,29650.0,,
MAC Field Scanner Season 4 Range 53 Column 2,Big_Kahuna,253.0,16040.0,,
MAC Field Scanner Season 4 Range 53 Column 3,SP1615,271.0,32080.0,,
MAC Field Scanner Season 4 Range 53 Column 4,Big_Kahuna,378.0,16230.0,,
MAC Field Scanner Season 4 Range 53 Column 5,SP1615,276.0,38580.0,,
MAC Field Scanner Season 4 Range 53 Column 6,Big_Kahuna,374.0,15700.0,,
MAC Field Scanner Season 4 Range 53 Column 7,SP1615,287.0,31570.0,,
MAC Field Scanner Season 4 Range 53 Column 8,Big_Kahuna,273.0,18890.0,,
MAC Field Scanner Season 4 Range 53 Column 9,SP1615,395.0,31810.0,,
MAC Field Scanner Season 4 Range 6 Column 10,PI563009,393.0,21590.0,,
MAC Field Scanner Season 4 Range 6 Column 11,PI562982,406.0,41840.0,,
MAC Field Scanner Season 4 Range 6 Column 12,PI329517,378.0,19820.0,,
MAC Field Scanner Season 4 Range 6 Column 13,PI643008,348.0,27850.0,,
